title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
All Options Strategies	Options Industry Council	金融机构教育资源	期权策略	Strategy Library	进阶	English	93	系统整理多种单腿和组合期权策略，便于教师构建策略比较表和案例库。	用于价差、跨式、勒式、备兑和保护策略教学。	https://www.optionseducation.org/strategies/all-strategies-en	2026-09-11	OIC;strategy library;spreads
上交所投资者教育平台	上海证券交易所	金融机构教育资源	证券 / ETF / 股票期权	官方投教	入门	中文	94	官方平台包含证券基础、股票期权、ETF、债券及风险教育等丰富材料，中文课堂可直接引用。	用于市场制度、ETF、期权和风险教育本土化案例。	https://edu.sse.com.cn/	2026-09-11	上交所;投教;ETF;期权
上交所期权学苑	上海证券交易所	金融机构教育资源	股票期权	分层课程 / 模拟交易	入门	中文	96	集在线课程、知识库、模拟交易和业务规则于一体，具有明确的初中高级学习路径。	用于股票期权教学、翻转课堂和模拟交易。	https://edu.sse.com.cn/college/qqxytj/	2026-09-11	上交所;期权学苑;模拟交易;股票期权
上交所期权初中高级课程	上海证券交易所	金融机构教育资源	期权定价 / Greeks / 波动率	分层课程	进阶	中文	95	官方课程从基础策略到希腊字母、套保套利、期权定价和波动率交易逐层推进。	用于期权模块分层教学与课后自学清单。	https://edu.sse.com.cn/college/qqxytj/kczx/	2026-09-11	上交所;Greeks;波动率;期权定价
上交所期权学习汇编书籍	上海证券交易所	教学案例库	期权 / ETF	官方教材	入门	中文	92	汇集《三小时快学期权》《2周攻克期权策略》《期权策略十讲》等官方教学材料。	用于中文期权教学、策略案例和学生阅读。	https://edu.sse.com.cn/college/qqxytj/bkxx/hbbook/	2026-09-11	上交所;期权策略;ETF;教材
深交所股票期权知识库	深圳证券交易所	金融机构教育资源	ETF期权 / 市场规则	官方投教	入门	中文	93	围绕深市ETF期权合约、行权、交易制度和风险控制提供官方问答。	用于中国场内期权制度、合约规格与规则案例。	https://investor.szse.cn/knowledge/option/index.html	2026-09-11	深交所;ETF期权;规则;投教
深交所期权入市手册与规则解读	深圳证券交易所	金融机构教育资源	ETF期权 / 风险控制	官方手册	进阶	中文	91	连续专题覆盖ETF期权品种、交易所风险控制和入市知识，便于形成制度型教学案例。	用于ETF期权、保证金与风险控制制度拓展。	https://investor.szse.cn/institute/rules/index_2.html	2026-09-11	深交所;期权入市手册;risk control
上海期货交易所投资者教育平台	上海期货交易所	金融机构教育资源	期货 / 期权 / 套期保值	官方投教 / 模拟交易	入门	中文	94	包含期货期权、市场监管、企业风险管理和模拟交易等资源，贴近中国商品衍生品市场。	用于期货交易机制、套保、产业企业风险管理和模拟交易。	https://edu.shfe.com.cn/	2026-09-11	上期所;期货;期权;模拟交易
AI4Finance Foundation	AI4Finance Foundation	AI＋金融工程专题	量化金融 / 智能投资	Open-source AI for Finance	进阶	English	93	开源社区聚合FinRL、FinGPT、FinRobot等AI金融项目，便于教师观察AI金融工具链的发展。	用于AI＋金融导论、项目选题和开源生态导航。	https://github.com/AI4Finance-Foundation	2026-09-11	AI4Finance;open source;AI finance
FinRL	AI4Finance Foundation	AI＋金融工程专题	量化交易 / 投资组合	Deep Reinforcement Learning	高级	English	95	面向金融强化学习的开源框架，提供市场环境、算法和交易工作流。	用于强化学习交易案例、高阶课程项目和代码阅读。	https://github.com/AI4Finance-Foundation/FinRL	2026-09-11	FinRL;reinforcement learning;trading
FinRL-Meta	AI4Finance Foundation	AI＋金融工程专题	金融数据 / 交易环境	Data-centric RL	高级	English	91	聚焦数据层、市场环境和可复现实验，为强化学习金融研究提供基础设施。	用于构建交易实验数据管线与环境设计案例。	https://github.com/AI4Finance-Foundation/FinRL-Meta	2026-09-11	FinRL-Meta;data;market environment
FinGPT	AI4Finance Foundation	AI＋金融工程专题	金融文本 / 投资研究	Financial LLM	高级	English	94	代表性开源金融大语言模型项目，连接金融文本、情绪、研究与LLM应用。	用于金融LLM、NLP、情绪分析与课程项目选题。	https://github.com/AI4Finance-Foundation/FinGPT	2026-09-11	FinGPT;LLM;financial NLP
FinRobot	AI4Finance Foundation	AI＋金融工程专题	金融研究 / 自动化分析	AI Agent	高级	English	92	面向金融分析和研究的Agent框架，可用于理解多智能体/Agent式金融工作流。	用于AI Agent专题、研究自动化案例和课程展示。	https://github.com/AI4Finance-Foundation/FinRobot	2026-09-11	FinRobot;agent;financial analysis
Qlib	Microsoft Research	金融工程AI工具箱	量化投资 / 因子研究	AI-oriented Quant Platform	高级	English	96	微软开源的AI量化投资平台，覆盖数据处理、模型训练、回测和组合构建。	用于量化研究完整流程、高阶实验和课程项目。	https://github.com/microsoft/qlib	2026-09-11	Qlib;quant research;machine learning;backtest
Qlib Quick Start	Microsoft Research	Python / Jupyter实验库	量化投资实验	Machine Learning / Backtesting	进阶	English	92	官方快速入门提供可执行的量化建模和回测流程，适合转化为实验课。	用于机器学习选股、回测和实验作业。	https://github.com/microsoft/qlib/blob/main/docs/introduction/quick.rst	2026-09-11	Qlib;quick start;backtest
PyPortfolioOpt	PyPortfolioOpt Project	金融工程AI工具箱	投资组合优化	Optimization	进阶	English	94	提供均值—方差、有效前沿、风险模型和Black–Litterman等组合优化工具，教学适配度高。	用于投资组合优化、约束条件和参数敏感性实验。	https://pyportfolioopt.readthedocs.io/en/latest/	2026-09-11	PyPortfolioOpt;portfolio;efficient frontier
Black-Litterman with PyPortfolioOpt	PyPortfolioOpt Project	Python / Jupyter实验库	资产配置	Black-Litterman	高级	English	92	将Black–Litterman模型以Python接口和示例呈现，便于从理论公式转为计算实验。	用于主观观点融合、资产配置和组合优化实验。	https://pyportfolioopt.readthedocs.io/en/stable/BlackLitterman.html	2026-09-11	Black-Litterman;portfolio;Python
Riskfolio-Lib	Riskfolio-Lib Project	金融工程AI工具箱	投资组合 / 风险预算	Portfolio Optimization	高级	English	94	支持多种风险度量、组合优化和风险平价方法，适合扩展传统均值—方差框架。	用于VaR/CVaR、风险平价和多目标组合优化。	https://riskfolio-lib.readthedocs.io/en/latest/	2026-09-11	Riskfolio-Lib;CVaR;risk parity;portfolio
Riskfolio-Lib Examples	Riskfolio-Lib Project	Python / Jupyter实验库	投资组合 / 风险管理	Applied Optimization	高级	English	92	官方示例覆盖多个组合优化与风险度量场景，可直接改造为Notebook实验。	用于组合实验、作业模板和模型比较。	https://riskfolio-lib.readthedocs.io/en/latest/riskfoliolib/examples.html	2026-09-11	Riskfolio-Lib;examples;portfolio
CVXPY Tutorial	CVXPY Project	金融工程AI工具箱	凸优化 / 投资组合	Convex Optimization	进阶	English	93	提供凸优化建模的标准Python接口和系统教程，是投资组合、校准和约束优化的通用工具。	用于金融工程中的凸优化建模和实验。	https://www.cvxpy.org/tutorial/	2026-09-11	CVXPY;convex optimization;portfolio
CVXPY Quadratic Program Example	CVXPY Project	Python / Jupyter实验库	均值—方差优化	Quadratic Programming	进阶	English	91	官方二次规划示例与Markowitz问题数学结构高度相似，适合本科生快速迁移。	用于均值—方差模型、约束组合和KKT直觉教学。	https://www.cvxpy.org/examples/basic/quadratic_program.html	2026-09-11	CVXPY;quadratic programming;Markowitz
Stochastic Volatility with PyMC	PyMC Project	Python / Jupyter实验库	波动率建模	Bayesian Modeling	高级	English	91	用贝叶斯方法估计随机波动率模型，连接金融时间序列与现代概率编程。	用于波动率专题、贝叶斯建模和高阶实验。	https://www.pymc.io/projects/examples/en/latest/time_series/stochastic_volatility.html	2026-09-11	PyMC;stochastic volatility;Bayesian
TensorFlow Time Series Forecasting	TensorFlow	AI＋金融工程专题	时间序列预测	Deep Learning	进阶	English	90	官方教程系统展示窗口化、单步/多步预测以及深度模型，便于迁移至金融时间序列。	用于收益率、波动率或宏观变量预测实验的方法参考。	https://www.tensorflow.org/tutorials/structured_data/time_series	2026-09-11	TensorFlow;time series;deep learning
PyTorch Tutorials	PyTorch	AI＋金融工程专题	深度学习计算	Deep Learning	进阶	English	93	官方教程覆盖从张量、自动微分到神经网络和完整ML工作流，是深度学习金融应用的可靠基础。	用于教师自学、深度学习专题和实验前置。	https://docs.pytorch.org/tutorials/	2026-09-11	PyTorch;deep learning;tutorial
XGBoost Tutorials	XGBoost	AI＋金融工程专题	信用风险 / 金融预测	Gradient Boosting	进阶	English	91	官方教程覆盖提升树、调参、约束和模型应用，可直接支撑表格型金融数据建模。	用于信用评分、收益预测和特征重要性实验。	https://xgboost.readthedocs.io/en/stable/tutorials/	2026-09-11	XGBoost;boosted trees;risk modeling
Text Classification with Transformers	Hugging Face	AI＋金融工程专题	金融文本分析	Transformer / NLP	进阶	English	91	官方Transformers文本分类教程可直接迁移到财经新闻、公告和情绪分类。	用于金融NLP、文本情绪和大模型前置实验。	https://huggingface.co/docs/transformers/main/tasks/sequence_classification	2026-09-11	Hugging Face;transformer;NLP;classification
Machine Learning for Trading	Stefan Jansen · GitHub	AI＋金融工程专题	量化交易 / 金融ML	Machine Learning / Generative AI	高级	English	95	大型开源量化金融教学仓库，覆盖数据、特征、ML、深度学习、交易策略及新一版生成式AI/Agent内容。	用于课程项目、Notebook案例和量化机器学习进阶自学。	https://github.com/stefan-jansen/machine-learning-for-trading	2026-09-11	machine learning for trading;quant;notebooks;agents
OpenBB Documentation	OpenBB	金融工程AI工具箱	金融数据 / 研究工作流	Open Financial Data Platform	进阶	English	90	提供统一的金融数据与研究接口，便于构建可复现的数据获取和分析流程。	用于金融数据实验、研究工作流和工具箱拓展。	https://docs.openbb.co/	2026-09-11	OpenBB;financial data;research workflow
