title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
桥水基金 PAT：AI Pocket Analyst 投资研究助手	Bridgewater Associates · AIA Labs	AI金融行业案例	宏观投资研究 / 投资决策	LLM Agent / Agentic Research / RAG	高级	English	100	桥水AIA Labs将数十年积累的投资知识与大语言模型、Agent工作流和现代软件架构结合，开发Pocket Analyst Tool（PAT），用于把原本需要数小时的探索性投资研究压缩到分钟级，并通过投资者反馈持续改进。该案例同时展示了人机协作、专有知识注入、投研Agent设计和高风险金融场景中的人工监督。	适合用于“AI投研智能体”“生成式AI如何进入机构投资流程”“人机协作与模型治理”案例教学；可与TradingAgents等开源Agent项目对照，讨论机构级系统为何需要专有知识、审计、反馈闭环和风险披露。	https://www.bridgewater.com/aia-labs/how-bridgewaters-aia-labs-built-pat-the-ai-pocket-analyst-tool	2026-09-11	Bridgewater;PAT;AIA Labs;investment research;LLM agent;agentic AI;portfolio management
摩根士丹利 AskResearchGPT：服务投行、销售交易与研究的生成式AI助手	Morgan Stanley Research	AI金融行业案例	投资银行 / 销售交易 / 证券研究	Generative AI / RAG / Research Assistant	高级	English	100	Morgan Stanley Research推出AskResearchGPT，将生成式AI接入公司每年发布的7万多份专有研究报告，为Investment Banking、Sales & Trading与Research员工提供数据查找、洞察提取和研究摘要，并嵌入日常工作流。案例边界清晰、业务关联直接，是投行和资本市场业务使用生成式AI的代表性案例。	适合用于投行研究支持、机构知识库RAG、销售交易信息服务和生成式AI治理案例；可讨论专有研究数据、信息时效性、引用核验及对分析师工作方式的影响。	https://www.morganstanley.com/press-releases/morgan-stanley-research-announces-askresearchgpt	2026-09-11	Morgan Stanley;AskResearchGPT;investment banking;sales and trading;research;RAG;OpenAI
Man Group AlphaGPT：Agentic AI 驱动量化研究	Man Group	AI金融行业案例	量化投资 / Alpha研究	LLM / Agentic AI / Quant Research	高级	English	99	Man Group公开其专有AlphaGPT工作流，用大语言模型处理海量数据并辅助端到端量化研究，目标是让AI研究分析师在人工监督下更广泛地搜索潜在市场关系和Alpha机会。该案例来自全球大型另类资管机构，能够连接传统系统化投资、机器学习与新一代Agentic AI研究流程。	适合用于量化研究、Alpha发现、AI研究代理和“人类研究员+AI”协同专题；可讨论低信噪比金融数据、过拟合、研究验证和AI生成假设如何进入真实投资流程。	https://www.man.com/insights/what-ai-can-do-for-alpha	2026-09-11	Man Group;AlphaGPT;quant investing;alpha;LLM;agentic AI;systematic investing
BlackRock Aladdin Copilot：机构投资组合与风险分析的生成式AI	BlackRock · Aladdin	AI金融行业案例	资产管理 / 投资组合 / 风险管理	Generative AI / Natural Language Interface	高级	English	99	Aladdin Copilot把生成式AI嵌入BlackRock Aladdin机构投资平台，使资产管理机构能够通过自然语言访问组合、风险和平台信息，同时采用权限控制、内容过滤和幻觉约束。案例兼具投资分析、平台化金融工程和AI治理三个维度，并已向Aladdin客户开放。	适合用于资产管理数字化、投资组合与风险分析、自然语言金融系统和AI治理案例；重点讨论“AI提供分析而非直接投资建议”、权限边界、数据隐私和模型风险控制。	https://www.blackrock.com/aladdin/platforms/products/aladdin-copilot	2026-09-11	BlackRock;Aladdin Copilot;asset management;portfolio;risk;generative AI;governance
JPMorgan Chase：LLM Suite 与 Prime Finance AI	JPMorgan Chase · Commercial & Investment Bank	AI金融行业案例	Prime Finance / 市场业务 / 风险与资本管理	Generative AI / Predictive AI	高级	English	99	JPMorgan Chase已将LLM Suite大规模部署至员工，并在Commercial & Investment Bank的Prime Finance中使用AI管理证券库存、改善定价、强化风险管理并优化资本效率；其交易筛查中AI也显著扩大审查量并减少人工检查。该案例能展示AI从通用平台进入市场业务核心流程的路径。	适合用于投行与市场业务、证券融资、定价、风险管理和AI规模化部署案例；可讨论平台型GenAI与业务专用模型的区别，以及效率提升如何与模型风险、合规和人工复核结合。	https://www.jpmorganchase.com/ir/annual-report/2025/ar-ceo-letter-petno-rohrbaugh	2026-09-11	JPMorgan;LLM Suite;Prime Finance;pricing;risk management;capital efficiency;investment bank
Goldman Sachs One Goldman Sachs 3.0：AI 重构投行与资管工作流	Goldman Sachs	AI金融行业案例	投行运营 / KYC / 风险管理 / 销售赋能	Generative AI / Workflow Automation	高级	English	98	Goldman Sachs在2025年年报中将One Goldman Sachs 3.0定义为由AI推动的新运营模式，首批重点改造客户准入/KYC、贷款、企业风险管理、监管报告和销售赋能等六类流程；此前已部署自然语言GS AI Assistant等生成式AI工具。该案例适合观察大型投行如何从单点助手走向端到端流程重构。	适合用于投行业务流程再造、KYC、企业风险管理、销售赋能与AI组织变革案例；讨论为什么金融机构的AI价值更多来自流程设计、数据治理和控制体系，而不只是模型能力。	https://www.goldmansachs.com/investor-relations/financials/current/annual-reports/2025-annual-report	2026-09-11	Goldman Sachs;One Goldman Sachs 3.0;investment banking;KYC;risk;sales enablement;AI transformation
UBS STAAT Insights：AI 赋能财富顾问客户洞察	UBS Global Wealth Management	AI金融行业案例	财富管理 / 客户关系管理	Predictive AI / Generative AI / Advisor Intelligence	进阶	English	98	UBS的STAAT Insights面向美国5000多名财富顾问，分析内部与外部信号识别客户机会，并生成会前简报和按需洞察。UBS披露近90%的顾问团队活跃使用该平台，每周节省约1200小时会前准备时间，2025年产生超过2000万条AI识别的客户机会，是少数公开量化使用效果的财富管理AI案例。	适合用于财富管理、顾问增强、客户机会识别和“AI不替代顾问而增强顾问”案例；可进一步讨论隐私、客户画像、信号筛选和推荐偏差。	https://www.ubs.com/global/en/our-firm/what-we-do/technology/innovation-and-ai.html	2026-09-11	UBS;STAAT Insights;wealth management;financial advisor;client intelligence;AI
Citi：Markets 交易确认自动化与 Wealth AI 助手	Citi	AI金融行业案例	市场业务 / 财富管理 / 客户服务	Generative AI / Workflow Automation	高级	English	98	Citi在最新年度披露中列出多项已进入业务流程的AI应用：Markets使用AI自动化交易确认，Wealth使用Advisor Insights和AskWealth支持个性化客户服务与研究，批发贷款使用AI简化承销和信用审查。案例覆盖前中后台多个环节，适合分析大型金融集团的多场景AI落地模式。	适合用于市场交易运营、财富管理、信用审查和企业级AI组合案例；可以比较同一机构中不同业务线对准确性、时效性、可解释性和人工控制的不同要求。	https://www.citigroup.com/global/investors/annual-reports-and-proxy-statements/2026/annual-report/letter-to-shareholders	2026-09-11	Citi;Markets;trade confirmation;AskWealth;Advisor Insights;underwriting;generative AI
Two Sigma：AI 与机器学习嵌入系统化投资全流程	Two Sigma Investment Management	AI金融行业案例	量化投资 / 模型研究 / 组合构建 / 交易执行	Machine Learning / NLP / Generative AI	高级	English	97	Two Sigma公开展示其以数据、计算和AI驱动的系统化投资流程：从数据获取和特征工程，到建模、组合构建和交易执行；研究平台每日运行大量市场模拟，并持续采用包括NLP、深度学习和生成式AI在内的方法。该案例代表AI并非附加工具，而是投资管理基础设施的一部分。	适合用于量化资管、机器学习投资流程、研究基础设施和模型生产化案例；可讨论从研究信号到组合和执行的全链条、过拟合控制以及人类研究判断的重要性。	https://www.twosigma.com/businesses/investment-management/	2026-09-11	Two Sigma;quantitative investment;machine learning;generative AI;portfolio construction;execution
Nasdaq AI Market Surveillance：AI 辅助市场操纵监测与调查	Nasdaq	AI金融行业案例	市场监测 / 合规 / 市场微观结构	Machine Learning / Generative AI / Surveillance	高级	English	97	Nasdaq在市场监测平台中使用AI和机器学习识别异常、排序风险，并用生成式AI从可信新闻与公司披露中提炼背景信息，帮助调查人员快速筛选大量警报、降低误报并决定是否深入调查。该系统面向交易所、监管机构、银行、券商和资产管理机构，是AI进入金融市场基础设施与合规领域的代表案例。	适合用于市场操纵、异常检测、模型风险、合规科技和金融市场基础设施案例；可讨论低误报与漏报权衡、可解释性、证据链以及生成式AI在监管场景中的边界。	https://www.nasdaq.com/newsroom/nasdaq-unveils-ai-tools-for-market-surveillance-offering	2026-09-11	Nasdaq;market surveillance;market abuse;compliance;machine learning;generative AI
