title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
经济金融智能体设计	中山大学 · 岭南学院	顶尖高校课程	经济金融场景 / 金融智能体 / 项目实践	AI Agents / LLM / Agentic Workflow	进阶	中文	100	中山大学岭南学院2026年AI原生课程，课程主页集中提供课程大纲、每周课件与课堂实践材料、24章在线教材、代码模板、数据集与拓展阅读；课程本身采用“人＋多个AI智能体”协作编写教材，并要求学生完成经济金融智能体项目，开放程度与教学可复用性极高。	优先用于AI＋金融/经济学智能体课程建设、金融Agent专题、项目式教学与生成式AI课程改革；其教材协作方法论、每周任务和代码模板也可直接作为教师备课参考。	https://ai.lingnan.top/	2026-09-11	中山大学;985;国内高校;AI Agent;经济金融智能体;LLM;课程教材;课件;代码;数据集
AI-Trader	HKU Data Intelligence Lab · Chao Huang / HKUDS	AI＋金融工程专题	量化交易 / 金融市场 / 风险管理	Autonomous Agents / LLM / Agent-Native Trading	高级	中英双语	99	香港大学Data Intelligence Lab开源的Agent-native交易与实时金融决策研究平台，面向股票、加密资产、外汇、期权与期货等市场，提供智能体接入、实时市场数据、策略信号、模拟交易、风险表现比较及完整开源代码/API；项目同时对应AI智能体实时金融市场评测研究。	用于金融智能体、LLM交易、风险控制和自主决策专题；适合作为“AI是否能真正完成金融决策闭环”的案例、实验平台及课程项目资源，教学中应强调paper trading与风险边界。	https://github.com/HKUDS/AI-Trader	2026-09-11	HKU;Chao Huang;AI-Trader;financial agents;autonomous trading;LLM;paper trading;risk management
Vibe-Trading	HKU Data Intelligence Lab · Chao Huang / HKUDS	金融工程AI工具箱	量化研究 / 策略回测 / 市场分析	LLM Agents / Multi-Agent / AI-Assisted Trading	高级	中英双语	99	香港大学Data Intelligence Lab开源的个人交易智能体框架，将自然语言市场研究、跨市场数据分析、策略代码生成与回测、交易行为诊断及多智能体协作整合为端到端工作流；项目提供代码、文档、Quick Start、示例及API/MCP接口。	用于量化研究工作流、策略回测、金融Agent实验和课程项目；尤其适合演示“研究—生成策略—回测—诊断—迭代”的AI辅助量化闭环，并可与传统Python回测框架比较。	https://github.com/HKUDS/Vibe-Trading	2026-09-11	HKU;Chao Huang;Vibe-Trading;backtesting;multi-agent;market research;quant;MCP
智能体与社会科学研究（Agentic Coding in Social Sciences Research）	王彬 · 暨南大学经济学院 · Bilibili	AI辅助教学方法	教师科研 / 社会科学研究 / 宏观模型	AI Agents / Agentic Coding / Claude Code	进阶	中文	100	面向社会科学研究者的长系列视频课程，公开内容包含智能体基础、Claude Code安装与使用、理论模型构建、大数据与本地数据库、数值计算以及动态宏观DSGE模型等案例，把Agentic Coding直接嵌入经济学与社会科学研究流程。	用于教师AI科研能力建设、Agentic Coding入门、经济学模型与数据处理工作流示范；也适合研究生方法课或教师培训中讨论“AI如何进入理论、数据、计算与写作全过程”。	https://space.bilibili.com/321279199/lists/7980972?type=season	2026-09-11	王彬;暨南大学;Agentic Coding;social science;Claude Code;DSGE;research workflow;Bilibili
Quantitative Macroeconomics with AI and Machine Learning	Zhigang Feng · University of Nebraska–Omaha	顶尖高校课程	宏观金融 / 动态模型 / 资产定价	Machine Learning / Deep Learning / Reinforcement Learning / LLM	高级	English	100	系统开放的量化宏观＋AI课程，完整提供课程说明、Lecture Slides、Jupyter Notebooks和Bilibili课程录像；内容从Python/PyTorch、数值方法和动态规划延伸到RBC、异质性主体、OLG、HPC、机器学习求解宏观模型、资产定价、强化学习、均值场博弈与LLM，并强调AI生成代码的经济学验证。	用于AI＋经济学、量化宏观、动态模型数值求解、异质性主体模型与机器学习资产定价；特别适合教师和研究生按“理论—算法—AI实现—经济学验证”的Research Architect路线系统学习。	https://vonzhg.github.io/Quant_Macro/#toc	2026-09-11	quant macro;AI for economics;machine learning;RBC;heterogeneous agents;OLG;asset pricing;reinforcement learning;LLM;Jupyter;海外高校
Vibe Researching with Coding Agents / Open Scholar Skill	Yongjun Zhang · Stony Brook University	AI辅助教学方法	教师科研 / 实证社会科学 / 论文全流程	Agentic Coding / Claude Code / Codex / Research Agents	高级	中英双语	100	一套把AI智能体嵌入社会科学研究全流程的开放工作流，配套中文实操手册、Claude Code/Codex可用的研究skills、验证与数据安全机制，覆盖选题、文献、研究设计、数据分析、写作、同行评审、核验与投稿；强调“人仍是研究判断主体”，不是简单自动写论文。	用于教师科研工作流升级、研究生方法课、Agentic Research训练与AI科研规范讨论；尤其适合把金融/经济实证研究拆成可审计的智能体任务，并训练验证、复现与责任边界。	https://yongjunzhang.com/vibe-researching/zh/	2026-09-11	Vibe Researching;Open Scholar Skill;Claude Code;Codex;research workflow;verification;social science
LLMs for Social Science	University of Oxford · DPIR / Nuffield College	AI辅助教学方法	教师科研 / 社会科学方法 / 文本与数据分析	LLM / RAG / Fine-tuning / Agents	高级	English	99	牛津大学DPIR Spring School开放工作坊材料，完整提供syllabus、5个连续模块的Jupyter Notebook、示例数据和Python/embedding/PyTorch预备材料；从embedding、transformer、prompting与evaluation一路进入API、fine-tuning、分类验证、RAG、模拟主体与agentic workflows。	用于教师系统学习“LLM如何真正进入社会科学研究”，也可直接改造成研究生方法课、文本分析课或金融文本智能实验；特别适合设计从概念到Notebook再到科研工作流的连续教学单元。	https://github.com/Oxford-LLMs-Research/Intro-to-LLMs-for-Social-Science	2026-09-11	Oxford;DPIR;LLM;RAG;agents;Jupyter;social science;research methods
Large Language Models for the Economic and Social Sciences	University of Mannheim	AI辅助教学方法	经济与社会科学教学 / 项目式研究	LLM / Computational Social Science / Evaluation	高级	English	98	曼海姆大学项目制课程公开仓库，提供Lectures、Exercises、AI usage policy、grading rubric与project ideas，不只讲LLM原理，还把模型使用、社会经济数据分析、行为建模、审计评估和课程项目完整组织在一起，具有很强的课程建设参考价值。	用于改造“AI＋金融/经济学”研究生或本科高年级课程；教师可直接参考其讲义、练习、AI使用政策、评分rubric和项目设计，构建更规范的AI课程评价体系。	https://github.com/dess-mannheim/LLM4ESS-HWS25	2026-09-11	Mannheim;LLM;economic and social sciences;lectures;exercises;rubric;AI policy;project-based
AI Pedagogy Project	metaLAB at Harvard · Berkman Klein Center	AI辅助教学方法	课程设计 / 作业设计 / AI素养	Generative AI / Pedagogy / Responsible AI	进阶	English	99	哈佛metaLAB孵化的开放AI教学资源库，提供AI Guide、AI Starter、LLM教程与模型比较、课堂AI政策以及由教师创建的可复用Assignments；核心不是“教工具”，而是帮助教师设计能培养学生AI素养、批判思维与责任使用能力的课堂活动。	用于课程重构、AI作业设计、课堂AI政策和学生AI素养训练；适合金融工程教师直接挑选活动后改造成“模型核验、偏差识别、金融数据解释、AI输出批判”等任务。	https://aipedagogy.org/	2026-09-11	Harvard;AI pedagogy;assignments;AI literacy;course policy;responsible AI;teaching
Teach with Generative AI / Harvard GenAI Library for Teaching and Learning	Harvard University · VPAL	AI辅助教学方法	备课 / 课堂教学 / 评价 / 教师案例	Generative AI / Teaching / Faculty Practice	进阶	English	98	哈佛面向教师的生成式AI教学资源中心，既有课程准备、作业与评价、课堂互动、tutor bot、反馈与学术诚信等系统指南，也有由VPAL整理的教师案例视频库，覆盖课程规划、课堂内外使用与assessment等真实教学实践。	用于教师培训和《金融工程》教学全过程改造，可按“备课—课堂互动—作业评价—AI tutor—学术诚信”逐环节对照案例，并形成自己的课程AI使用规范和实验方案。	https://www.harvard.edu/ai/teaching-resources/	2026-09-11	Harvard;GenAI teaching;faculty cases;assessment;course design;tutor bot;academic integrity
