title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
Machine Learning for Finance	James Le · Jannes Klaas / Packt · O'Reilly	经典教材与专著	金融预测 / 欺诈识别 / NLP / 算法应用	Machine Learning / Deep Learning / GAN / Reinforcement Learning	进阶	English	97	面向金融场景的机器学习实践教材，以Python为主线，覆盖结构化数据、文本、图像、时间序列、神经网络、GAN、强化学习及模型调试，强调把通用ML技术迁移到真实金融问题。	适合教师系统学习AI＋金融的应用链条，也可抽取金融预测、欺诈识别、文本分类和强化学习案例改造成实验。	https://www.oreilly.com/library/view/machine-learning-for/9781789136364/	2026-09-11	finance;machine learning;Python;GAN;reinforcement learning
Probabilistic Machine Learning for Finance and Investing	Deepak K. Kanungo / O'Reilly Media	经典教材与专著	投资决策 / 风险管理 / 资产配置	Probabilistic ML / Bayesian Inference / Generative AI	高级	English	98	把概率机器学习、贝叶斯推断、生成式模型和不确定性量化直接用于金融与投资，强调用概率分布而非点预测表达模型风险，并包含PyMC、ArviZ等Python实现。	用于概率机器学习、风险管理、生成式AI、贝叶斯资产配置和不确定性决策专题；已有机械工业出版社中文版《概率机器学习：金融与投资实战》。	https://www.oreilly.com/library/view/probabilistic-machine-learning/9781492097662/	2026-09-11	probabilistic ML;Bayesian;finance;investing;PyMC;generative AI
Financial Signal Processing and Machine Learning	Ali N. Akansu · Sanjeev R. Kulkarni · Dmitry Malioutov (eds.) / Wiley-IEEE	经典教材与专著	投资组合 / 风险管理 / 金融信号	Machine Learning / Sparse Learning / Signal Processing	高级	English	97	金融工程与机器学习直接融合的重要专著，把投资组合理论、稀疏学习、压缩感知、均值回复、稳健优化、图模型、因果分析和非高斯风险度量置于统一框架。	特别适合投资组合、风险管理、高维金融数据和量化策略教师进阶，也可作为传统金融工程向机器学习扩展的桥梁书。	https://onlinelibrary.wiley.com/doi/book/10.1002/9781118745540	2026-09-11	financial signal processing;portfolio;sparse learning;risk;machine learning
Pattern Recognition and Machine Learning	Christopher M. Bishop / Springer	经典教材与专著	机器学习方法基础	Bayesian ML / Graphical Models / Approximate Inference	高级	English	99	概率机器学习的经典教材之一，以贝叶斯视角系统讲解回归、分类、核方法、神经网络、图模型、混合模型及近似推断，对理解现代概率机器学习和金融建模非常重要。	作为AI＋金融和AI＋经济学的方法论经典参考，重点用于概率模型、贝叶斯推断、图模型和潜变量模型的理论补充。	https://link.springer.com/book/9780387310732	2026-09-11	Bishop;PRML;Bayesian;graphical models;classic
Probabilistic Machine Learning: An Introduction	Kevin P. Murphy / MIT Press	经典教材与专著	机器学习方法基础	Probabilistic ML / Bayesian Decision Theory / Deep Learning	进阶	English	99	以概率建模和贝叶斯决策理论统一机器学习与深度学习，覆盖数学基础、监督学习、无监督学习和迁移学习，并配在线Python代码、练习及开放版本。	适合金融和经济学教师从统计/计量方法系统过渡到现代机器学习，可作为概率ML主教材和自学路线起点。	https://mitpress.mit.edu/9780262046824/probabilistic-machine-learning/	2026-09-11	Murphy;probabilistic ML;Bayesian;Python;open access
Probabilistic Machine Learning: Advanced Topics	Kevin P. Murphy / MIT Press	经典教材与专著	生成模型 / 因果 / 决策	Deep Generative Models / Bayesian Inference / RL / Causality	高级	English	99	Murphy概率机器学习体系的高阶卷，覆盖深度生成模型、图模型、贝叶斯推断、分布漂移、强化学习、因果推断和不确定性决策，并提供在线Python代码。	用于生成式AI、概率图模型、因果机器学习、强化学习及金融模型不确定性的高阶教师自学。	https://mitpress.mit.edu/9780262048439/probabilistic-machine-learning/	2026-09-11	Murphy;generative AI;causality;reinforcement learning;Bayesian
Reinforcement Learning: An Introduction, 2nd Edition	Richard S. Sutton · Andrew G. Barto / MIT Press	经典教材与专著	动态决策 / 算法交易 / 资产配置	Reinforcement Learning	高级	English	99	强化学习领域公认的奠基性教材，系统覆盖多臂老虎机、动态规划、Monte Carlo、TD学习、函数逼近、策略梯度等核心方法，第二版含开放版本和教学配套。	作为金融强化学习的理论底座，用于算法交易、动态资产配置、执行与做市等RL专题前置学习。	https://mitpress.mit.edu/9780262039246/reinforcement-learning/	2026-09-11	Sutton;Barto;reinforcement learning;classic;open access
Deep Learning	Ian Goodfellow · Yoshua Bengio · Aaron Courville / MIT Press	经典教材与专著	深度学习方法基础	Deep Learning / Representation Learning	高级	English	99	现代深度学习最具代表性的经典教材之一，系统覆盖前馈网络、正则化、优化、卷积网络、序列模型、表示学习和深度生成模型，作者提供完整免费在线版本。	用于金融文本、时间序列、图像另类数据、深度因子模型等专题的理论基础，也适合作为教师深度学习系统自学教材。	https://www.deeplearningbook.org/	2026-09-11	Goodfellow;Bengio;Courville;deep learning;free online
Applied Causal Inference Powered by ML and AI	Victor Chernozhukov · Christian Hansen · Nathan Kallus · Martin Spindler · Vasilis Syrgkanis	经典教材与专著	实证经济学 / 政策评估 / 因果金融	Causal ML / Double ML / Heterogeneous Effects / AI	高级	English	99	由MIT、Chicago、Cornell、Hamburg、Stanford学者共同编写的开放教材，系统连接现代机器学习与因果识别，覆盖预测推断、双重/去偏机器学习、异质处理效应、IV、DID、RDD等，并提供免费章节和实验材料。	作为AI＋经济学和因果机器学习的核心教材，特别适合研究生实证课、政策评估和金融因果研究方法升级。	https://causalml-book.org/	2026-09-11	Chernozhukov;double ML;causal inference;economics;AI;open book
Deep Learning: Foundations and Concepts	Christopher M. Bishop · Hugh Bishop / Springer	经典教材与专著	深度学习 / 生成式AI方法	Transformers / GNN / GAN / Diffusion Models	进阶	English	97	面向现代AI的新一代深度学习教材，从概率基础、神经网络、反向传播和正则化推进到Transformer、图神经网络、GAN、流模型和扩散模型，并提供分层习题及部分解答。	用于补足经典Deep Learning教材之后的Transformer、GNN和扩散模型新内容，适合金融LLM、图金融和生成式AI专题。	https://link.springer.com/book/10.1007/978-3-031-45468-4	2026-09-11	Bishop;deep learning;transformer;GNN;diffusion;modern textbook
