title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
Machine Learning in Finance: From Theory to Practice	Matthew F. Dixon · Igor Halperin · Paul Bilokon / Springer	经典教材与专著	金融计量 / 投资管理 / 风险管理 / 算法交易	Machine Learning / Neural Networks / Reinforcement Learning	高级	English	99	系统统一机器学习、金融计量和离散时间随机控制，章节含例题、练习和Python代码，并覆盖算法交易、财富管理、风险管理与强化学习，是AI＋金融工程最完整的教材之一。	适合作为教师系统进阶教材，也可拆分为机器学习、神经网络、序列模型和强化学习专题的备课主线。	https://link.springer.com/book/10.1007/978-3-030-41068-1	2026-09-11	textbook;finance;machine learning;Python;reinforcement learning
Advances in Financial Machine Learning	Marcos López de Prado / Wiley	经典教材与专著	量化投资 / 金融数据 / 回测	Financial Machine Learning	高级	English	98	金融机器学习领域的代表性专著，强调金融数据结构、标签、采样、交叉验证、特征重要性和回测过拟合等金融场景特有问题。	用于讲授为什么金融机器学习不能简单照搬通用ML流程，尤其适合时间序列验证、回测偏差和策略研究方法专题。	https://www.wiley-vch.de/en/areas-interest/finance-economics-law/finance-investments-13fi/finance-investments-special-topics-13fiz/advances-in-financial-machine-learning-978-1-119-48208-6	2026-09-11	Lopez de Prado;financial ML;backtesting;cross-validation
Machine Learning for Asset Managers	Marcos M. López de Prado / Cambridge University Press	经典教材与专著	资产管理 / 资产定价 / 投资组合	Machine Learning	高级	English	97	从资产管理者视角解释机器学习如何用于发现经济与金融理论，强调样本外预测、非线性和高维问题，以及ML与经典统计方法的互补关系。	用于资产定价、投资组合和量化研究方法专题，也适合作为金融教师从计量方法过渡到机器学习的桥梁读物。	https://www.cambridge.org/core/books/machine-learning-for-asset-managers/6D9211305EA2E425D33A9F38D0AE3545	2026-09-11	asset management;machine learning;theory;Lopez de Prado
Artificial Intelligence in Finance	Yves Hilpisch / O'Reilly Media	经典教材与专著	量化交易 / 金融数据科学	Artificial Intelligence / Neural Networks / Reinforcement Learning	进阶	English	98	以Python为主线讲授AI和机器学习在金融中的实际应用，包含大量自包含代码示例，可复现书中结果和图形，并覆盖神经网络、强化学习、回测和算法交易。	适合教师自学AI金融并直接改造成Python实验；中文版《金融人工智能：用Python实现AI量化交易》也便于中文教学参考。	https://www.oreilly.com/library/view/artificial-intelligence-in/9781492055426/	2026-09-11	Hilpisch;AI finance;Python;neural network;reinforcement learning
Machine Learning for Algorithmic Trading, 2nd Edition	Stefan Jansen / Packt	经典教材与专著	算法交易 / 另类数据 / 投资组合	Machine Learning / Deep Learning / NLP / RL	高级	English	99	从数据获取、特征工程、监督与无监督学习一路推进到金融文本、CNN/RNN、GAN和深度强化学习，配套开源仓库含150多个Notebook，实践资源极其丰富。	可直接作为AI量化交易实验课和课程项目资源库，适合挑选Notebook改造为本科或研究生实验。	https://github.com/PacktPublishing/Machine-Learning-for-Algorithmic-Trading-Second-Edition	2026-09-11	Jansen;algorithmic trading;150 notebooks;NLP;deep RL
The Elements of Statistical Learning	Trevor Hastie · Robert Tibshirani · Jerome Friedman	经典教材与专著	机器学习方法基础	Statistical Learning / Machine Learning	高级	English	99	统计学习与机器学习领域的经典教材，系统覆盖正则化、树模型、Boosting、神经网络、SVM和无监督学习；作者官网提供完整PDF。	作为AI＋金融和AI＋经济学共同的方法论底座，适合教师查阅算法原理并补足理论基础。	https://hastie.su.domains/ElemStatLearn/main.html	2026-09-11	ESL;statistical learning;classic;free PDF
An Introduction to Statistical Learning: with Applications in Python	Gareth James · Daniela Witten · Trevor Hastie · Robert Tibshirani · Jonathan Taylor	经典教材与专著	机器学习方法 / Python实验	Statistical Learning / Python	进阶	English	99	比ESL更适合教学入门，保留统计学习核心内容并在每章配Python实验，覆盖回归、分类、树模型、支持向量机、深度学习等。	非常适合本科生和金融教师快速建立机器学习基础，可把章节实验直接迁移到金融数据。	https://link.springer.com/book/10.1007/978-3-031-38747-0	2026-09-11	ISLP;Python;statistical learning;textbook
Statistical Learning with Sparsity: The Lasso and Generalizations	Trevor Hastie · Robert Tibshirani · Martin Wainwright	经典教材与专著	高维金融数据 / 变量选择	Lasso / Regularization / High-dimensional ML	高级	English	96	系统讲解Lasso及其推广，是理解高维预测、变量选择和正则化方法的重要专著；作者官网提供完整PDF。	用于高维资产定价、因子筛选、信用风险和机器学习中的正则化专题。	https://hastie.su.domains/StatLearnSparsity/	2026-09-11	Lasso;sparsity;high dimensional;free PDF
Computer Age Statistical Inference	Bradley Efron · Trevor Hastie	经典教材与专著	统计推断 / 数据科学	Statistical Inference / Machine Learning	高级	English	95	从传统统计推断连接到算法、机器学习和现代数据科学，帮助理解预测算法与统计推断之间的关系；作者官网提供在线PDF、目录和配套材料。	适合金融和经济学教师理解“计量推断”与“机器学习预测”两种范式的联系与差异。	https://hastie.su.domains/CASI/	2026-09-11	inference;data science;Efron;Hastie;free PDF
The Economics of Artificial Intelligence: An Agenda	Ajay Agrawal · Joshua Gans · Avi Goldfarb (eds.) / University of Chicago Press	经典教材与专著	经济增长 / 劳动 / 产业组织 / 技术进步	Economics of AI / Machine Learning and Economics	进阶	English	98	AI经济学的标志性论文集，系统讨论AI作为通用目的技术、增长、就业、不平等、监管以及机器学习如何改变经济学研究，并汇集大量顶尖经济学家贡献。	用于AI与经济增长、劳动市场、产业组织、政策以及“机器学习如何改变经济学”专题，是教师研究和教学的重要参考。	https://press.uchicago.edu/ucp/books/book/chicago/E/bo35780726.html	2026-09-11	economics of AI;NBER;Athey;Acemoglu;growth
