title	source	zone	finance_module	ai_topic	level	language	score	teaching_value	suggested_use	url	last_verified	tags
金融智能	张晓燕主编，吴辉航、李志勇、张欣然副主编 · 清华大学出版社	经典教材与专著	金融智能 / 资产定价 / 风险管理 / 金融数据	Machine Learning / AI / Financial Intelligence	进阶	中文	100	教育部战略新兴领域“十四五”高等教育系列教材，由清华大学五道口金融学院团队编写，重点处理金融场景中的数据特征、风险定价、模型可解释性及人工智能方法，并配套Python代码示例与案例，和本平台“AI＋金融工程”定位高度一致。	建议作为中文教材主线的第一本，用于AI＋金融课程框架设计、机器学习金融应用、金融数据处理和教师系统自学。	https://www.pbcsf.tsinghua.edu.cn/info/1154/9939.htm	2026-09-11	中文教材;清华五道口;金融智能;Python;机器学习;资产定价;风险管理
人工智能与量化交易	张军欢 · 清华大学出版社	经典教材与专著	量化交易 / 资产定价 / 市场微观结构 / 投资策略	Machine Learning / Deep Learning / LLM / Algorithmic Trading	进阶	中文	99	2026年出版的新形态金融学教材，系统衔接金融市场微观结构、资产定价、套利与量化交易，并覆盖机器学习、深度学习、大语言模型和人工智能量化策略，出版社页面提供教学资源入口。	用于量化交易、AI＋投资、算法交易与金融工程课程扩展，也适合作为国内AI量化教学的前沿教材。	https://www.tup.tsinghua.edu.cn/booksCenter/book_09358101.html	2026-09-11	中文教材;清华大学出版社;量化交易;资产定价;LLM;人工智能
Python量化金融与人工智能	朱顺泉 · 清华大学出版社	经典教材与专著	量化金融 / 投资组合 / 时间序列 / 资产定价	Machine Learning / Python / GARCH / Quantitative Finance	进阶	中文	98	面向金融学、金融工程等专业，覆盖Python科学计算、金融时间序列、ARCH/GARCH、投资组合、CAPM、量化选股、择时与人工智能机器学习策略；出版社提供电子课件、代码和数据文件。	用于《金融计算与Python编程》、量化金融、投资组合与金融机器学习实验，尤其适合中文课堂直接使用。	https://www.tup.com.cn/booksCenter/book_08907401.html	2026-09-11	中文教材;Python;量化金融;机器学习;GARCH;投资组合;代码
金融机器学习（中文版）	Marcos López de Prado 著，林华等译 · 中信出版社	经典教材与专著	金融机器学习 / 回测 / 特征工程 / 投资组合	Machine Learning / Backtesting / Feature Engineering	高级	中文	98	《Advances in Financial Machine Learning》的正式中译本，围绕金融数据结构、标签、特征重要性、回测过拟合、高性能计算等问题展开，并含代码片段和练习。与英文原版对应，降低教师使用经典金融机器学习专著的语言门槛。	用于金融机器学习高级专题、量化研究方法和教师进阶阅读；可与英文原版对照使用。	https://item.xhsd.com/items/110000103900236	2026-09-11	中文版;译著;金融机器学习;de Prado;回测;特征工程
Python金融大数据分析（第2版，中文版）	Yves Hilpisch 著，姚军译 · 人民邮电出版社	经典教材与专著	金融计算 / 衍生品定价 / 算法交易 / 数据分析	Python / Machine Learning / Monte Carlo / Algorithmic Trading	进阶	中文	97	系统覆盖Python金融数据科学、NumPy/pandas、算法交易、机器学习与深度神经网络，并包含蒙特卡洛模拟、金融模型模拟、期权和衍生品估值等金融工程核心内容，是中文金融Python教学的重要参考。	用于金融计算、Python金融数据分析、衍生品数值定价和算法交易课程，也适合研究生自学。	https://www.aijiaocai.com/textbook/details?textbook_id=755680	2026-09-11	中文版;译著;Python;金融大数据;衍生品定价;算法交易;机器学习
量化投资从理论到实践	温硕、陈婷秀 · 清华大学出版社	经典教材与专著	量化投资 / 因子模型 / 策略回测 / 机器学习	Python / Factor Models / Machine Learning	进阶	中文	97	以Python和国内量化平台组织完整量化投资流程，覆盖因子分析、多因子选股、CAPM、Fama三因子、技术指标、动量、均值回归及机器学习算法策略，并包含大量可运行代码和案例。	用于量化投资、资产定价、因子模型和策略回测实验；适合本科金融工程和投资学课程。	https://www.tup.tsinghua.edu.cn/booksCenter/book_10059201.html	2026-09-11	中文教材;量化投资;Python;因子模型;机器学习;回测
Python量化投资：技术、模型与策略	赵志强、刘志伟 · 机械工业出版社	经典教材与专著	量化投资 / 衍生品 / 投资组合 / 数据获取	Python / AI / Quantitative Investing	进阶	中文	96	从Python基础、NumPy/SciPy/pandas扩展到投资组合、多因子模型、期货期权、债券、策略研究、自动交易、数据采集和人工智能在量化投资中的应用，覆盖面完整，适合教师构建综合实验链条。	用于Python量化投资综合实验、金融工程计算案例以及从基础编程到策略研究的课程衔接。	https://ebooks.cmpbook.com/detail?id=21743	2026-09-11	中文教材;机械工业出版社;Python;量化投资;期货期权;人工智能
Python金融数据分析（微课视频版·题库版）	李蕾、张春越、郭瑞波、高炜 · 清华大学出版社	经典教材与专著	金融数据分析 / 时间序列 / 机器学习	Python / Data Analysis	入门	中文	96	配套约780分钟微课视频、程序源码、教学课件、教学大纲和题库，强调从Python基础到金融数据分析的项目化学习，教学配套资源完整，适合教师直接借鉴。	用于金融Python入门、金融数据处理和实验课，也适合作为学生自学型配套教材。	https://www.tup.tsinghua.edu.cn/booksCenter/book_09719401.html	2026-09-11	中文教材;Python;金融数据分析;微课;源码;课件;题库
金融计算与量化投资——MATLAB金融工具箱的应用	李合龙、胡云鹤、袁宜晨、杨苏鹏 · 清华大学出版社	经典教材与专著	金融计算 / 量化投资 / 数值方法	MATLAB / Quantitative Finance	进阶	中文	94	以金融计算与量化投资为主线，使用MATLAB金融工具箱处理金融大数据与计算问题，出版社为采用本书的教师提供教学课件等辅助资源，可作为Python路线之外的传统计算金融参照教材。	用于金融计算、量化投资和MATLAB数值实验，也适合比较MATLAB与Python在金融工程教学中的实现方式。	https://www.tup.tsinghua.edu.cn/bookscenter/book_09447201.html	2026-09-11	中文教材;MATLAB;金融计算;量化投资;教学课件
金融科技实务教程	林健武、袁先智、马小峰、罗彤、何丽峰 · 清华大学出版社	经典教材与专著	金融科技 / 智能投顾 / 量化投资 / 风险管理	AI / Machine Learning / NLP / FinTech	进阶	中文	95	面向高年级本科生和研究生，涵盖金融大数据、区块链、人工智能、智能投顾、量化投资、金融自然语言处理和金融科技编程；配套教学课件、教学大纲、扩展阅读、试卷和答案。	用于AI＋金融导论、金融科技、智能投顾与金融NLP专题，也适合教师借鉴其完整教辅体系。	https://www.tup.tsinghua.edu.cn/bookscenter/book_08756901.html	2026-09-11	中文教材;金融科技;智能投顾;量化投资;NLP;机器学习;课件
